rank,track_artist,peak,prev,streak,streams,track_name,artist_name
19,"Por Qué la Envidia
Yeison Jimenez",3,21.0,7,875215,Por Qué la Envidia,Yeison Jimenez
20,"EoO
Bad Bunny",7,16.0,60,870822,EoO,Bad Bunny
21,"MIL D AURA
Kris R.",21,22.0,2,838123,MIL D AURA,Kris R.
22,"Idilio
Willie Colón",22,,1,817577,Idilio,Willie Colón
23,"SANKA
Ryan Castro, Dongo",7,25.0,38,813342,SANKA,"Ryan Castro, Dongo"
24,"LA CANCIÓN
J Balvin, Bad Bunny",2,19.0,348,811215,LA CANCIÓN,"J Balvin, Bad Bunny"
25,"DÓNDE
Kapo, Ryan Castro",13,30.0,34,797494,DÓNDE,"Kapo, Ryan Castro"
26,"Vete
Yeison Jimenez",10,23.0,7,754338,Vete,Yeison Jimenez
27,"Todo Lo Fue
Lenin Ramírez",27,68.0,3,753835,Todo Lo Fue,Lenin Ramírez
28,"CHÉVERE (joesón_type_beat)
ARIA VEGA",12,12.0,6,753338,CHÉVERE (joesón_type_beat),ARIA VEGA
29,"Hasta Aquí Llegué
Nanpa Básico, Beéle",3,31.0,84,744668,Hasta Aquí Llegué,"Nanpa Básico, Beéle"
30,"UWAIE
Kapo",1,34.0,80,740404,UWAIE,Kapo
31,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",2,32.0,37,740167,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
32,"El Mejor - Remix
Yeison Jimenez, Chayín Rubio",8,28.0,7,739241,El Mejor - Remix,"Yeison Jimenez, Chayín Rubio"
33,"Ba Ba Bad Remix
Kybba, Sean Paul, Ryan Castro, Busy Signal",2,43.0,35,726470,Ba Ba Bad Remix,"Kybba, Sean Paul, Ryan Castro, Busy Signal"
34,"NO ME QUIERO CASAR
Bad Bunny",19,29.0,25,715952,NO ME QUIERO CASAR,Bad Bunny
35,"FANÁTICO
Blessd, J Alvarez",17,24.0,4,715446,FANÁTICO,"Blessd, J Alvarez"
36,"Oh Qué Será?
Willie Colón",36,,1,699566,Oh Qué Será?,Willie Colón
37,"El Teléfono
Héctor ""El Father"", Wisin & Yandel",19,38.0,25,692030,El Teléfono,"Héctor ""El Father"", Wisin & Yandel"
38,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",20,57.0,42,682486,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz"
39,"top diesel
Beéle",3,35.0,41,677663,top diesel,Beéle
