rank,track_artist,peak,prev,streak,streams,track_name,artist_name
101,"Have You Ever Seen The Rain
Creedence Clearwater Revival",42,88.0,9,388247,Have You Ever Seen The Rain,Creedence Clearwater Revival
102,"All The Stars (with SZA) - From ""Black Panther: The Album""
Kendrick Lamar, SZA",3,84.0,9,387894,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA"
103,"5-7
Karan Aujla, Mxrci",103,,1,387545,5-7,"Karan Aujla, Mxrci"
104,"TIT FOR TAT
Tate McRae",2,103.0,22,387512,TIT FOR TAT,Tate McRae
105,"I'm The Problem
Morgan Wallen",5,100.0,56,386065,I'm The Problem,Morgan Wallen
106,"Good Flirts (feat. Kendrick Lamar & Momo Boyd)
Baby Keem, Kendrick Lamar, Momo Boyd",106,,1,385688,Good Flirts (feat. Kendrick Lamar & Momo Boyd),"Baby Keem, Kendrick Lamar, Momo Boyd"
107,"Espresso
Sabrina Carpenter",2,90.0,9,384734,Espresso,Sabrina Carpenter
108,"Better Me For You (Brown Eyes)
Max McNown",68,142.0,9,383864,Better Me For You (Brown Eyes),Max McNown
109,"The Less I Know The Better
Tame Impala",93,93.0,8,382176,The Less I Know The Better,Tame Impala
110,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)
White Noise Radiance, Rain Sounds",110,114.0,4,380337,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)","White Noise Radiance, Rain Sounds"
111,"No Hands (feat. Roscoe Dash & Wale)
Waka Flocka Flame, Roscoe Dash, Wale",93,117.0,7,380030,No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame, Roscoe Dash, Wale"
112,"WILDFLOWER
Billie Eilish",16,92.0,9,376812,WILDFLOWER,Billie Eilish
113,"CHANEL
Tyla",14,111.0,15,376765,CHANEL,Tyla
114,"Hell At Night (feat. Ella Langley)
BigXthaPlug, Ella Langley",71,121.0,9,374777,Hell At Night (feat. Ella Langley),"BigXthaPlug, Ella Langley"
115,"Somewhere I Belong
Linkin Park",115,155.0,8,374060,Somewhere I Belong,Linkin Park
116,"Phantom
EsDeeKid, Rico Ace",26,109.0,16,373231,Phantom,"EsDeeKid, Rico Ace"
117,"VOY A LLeVARTE PA PR
Bad Bunny",14,35.0,3,372598,VOY A LLeVARTE PA PR,Bad Bunny
118,"Promiscuous
Nelly Furtado, Timbaland",85,106.0,9,371361,Promiscuous,"Nelly Furtado, Timbaland"
119,"Passionfruit
Drake",1,124.0,9,369677,Passionfruit,Drake
120,"Feel Good Inc.
Gorillaz, De La Soul",58,128.0,9,369343,Feel Good Inc.,"Gorillaz, De La Soul"
121,"Viva La Vida
Coldplay",42,123.0,9,369243,Viva La Vida,Coldplay
122,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",122,184.0,2,369094,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
123,"Worst Way
Riley Green",33,99.0,9,368727,Worst Way,Riley Green
124,"Good Luck, Babe!
Chappell Roan",4,96.0,9,365304,"Good Luck, Babe!",Chappell Roan
125,"Ain't No Love In Oklahoma (From Twisters: The Album)
Luke Combs",15,138.0,9,364422,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs
126,"You Should Probably Leave
Chris Stapleton",59,105.0,9,364361,You Should Probably Leave,Chris Stapleton
127,"Bloodline
Alex Warren, Jelly Roll",5,139.0,9,363835,Bloodline,"Alex Warren, Jelly Roll"
128,"Midnight Sun
Zara Larsson",128,162.0,6,363518,Midnight Sun,Zara Larsson
129,"Sex on Fire
Kings of Leon",125,149.0,8,362409,Sex on Fire,Kings of Leon
130,"Dracula
Tame Impala",35,125.0,9,360350,Dracula,Tame Impala
131,"House Money
Baby Keem",131,,1,359277,House Money,Baby Keem
132,"Stargazing
Myles Smith",13,170.0,9,359231,Stargazing,Myles Smith
133,"Give Me Everything (feat. Nayer)
Pitbull, AFROJACK, Ne-Yo, Nayer",106,144.0,9,358903,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer"
134,"White Keys
Dominic Fike",134,,1,358716,White Keys,Dominic Fike
135,"Mystical Magical
Benson Boone",13,115.0,9,358430,Mystical Magical,Benson Boone
