rank,track_artist,peak,prev,streak,streams,track_name,artist_name
74,"Numb
Linkin Park",13,106.0,78,623222,Numb,Linkin Park
75,"Don't Stop The Music
Rihanna",66,87.0,9,618764,Don't Stop The Music,Rihanna
76,"Just Keep Watching (From F1® The Movie)
Tate McRae, F1 The Album",17,104.0,8,612989,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album"
77,"Ms. Jackson
Pashanim",1,113.0,9,611086,Ms. Jackson,Pashanim
78,"Only Girl (In The World)
Rihanna",78,91.0,9,610898,Only Girl (In The World),Rihanna
79,"All The Things She Said
t.A.T.u.",58,94.0,9,609526,All The Things She Said,t.A.T.u.
80,"APT.
ROSÉ, Bruno Mars",1,79.0,71,602800,APT.,"ROSÉ, Bruno Mars"
81,"Somewhere I Belong
Linkin Park",81,122.0,9,602577,Somewhere I Belong,Linkin Park
82,"Kapitel 10: und der rote Büffel - Folge 237
Die drei ???",82,,1,601856,Kapitel 10: und der rote Büffel - Folge 237,Die drei ???
83,"She Doesn't Mind
Sean Paul",83,130.0,9,601327,She Doesn't Mind,Sean Paul
84,"Kapitel 08: und der rote Büffel - Folge 237
Die drei ???",84,,1,600867,Kapitel 08: und der rote Büffel - Folge 237,Die drei ???
85,"Kapitel 09: und der rote Büffel - Folge 237
Die drei ???",85,,1,600651,Kapitel 09: und der rote Büffel - Folge 237,Die drei ???
86,"Unwritten
Natasha Bedingfield",2,119.0,111,596328,Unwritten,Natasha Bedingfield
87,"Kapitel 07: und der rote Büffel - Folge 237
Die drei ???",87,,1,592825,Kapitel 07: und der rote Büffel - Folge 237,Die drei ???
88,"Beautiful Things
Benson Boone",1,112.0,9,589085,Beautiful Things,Benson Boone
89,"Die On This Hill
SIENNA SPIRO",70,131.0,7,588215,Die On This Hill,SIENNA SPIRO
90,"NOW OR NEVER
Tkandz, CXSPER",3,97.0,23,587870,NOW OR NEVER,"Tkandz, CXSPER"
91,"Faint
Linkin Park",45,125.0,8,587235,Faint,Linkin Park
92,"Die With A Smile
Lady Gaga, Bruno Mars",3,90.0,9,585985,Die With A Smile,"Lady Gaga, Bruno Mars"
93,"Nur ein Wort
Wir sind Helden",39,139.0,9,581967,Nur ein Wort,Wir sind Helden
94,"Don't Stop Believin' (2022 Remaster)
Journey",19,129.0,96,581523,Don't Stop Believin' (2022 Remaster),Journey
95,"Give Me Everything (feat. Nayer)
Pitbull, AFROJACK, Ne-Yo, Nayer",56,102.0,9,581126,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer"
96,"Another Love
Tom Odell",10,93.0,256,580631,Another Love,Tom Odell
97,"Kapitel 04: und der rote Büffel - Folge 237
Die drei ???",97,,1,580490,Kapitel 04: und der rote Büffel - Folge 237,Die drei ???
98,"Bring Me To Life
Evanescence",98,121.0,9,579700,Bring Me To Life,Evanescence
99,"Kapitel 06: und der rote Büffel - Folge 237
Die drei ???",99,,1,579211,Kapitel 06: und der rote Büffel - Folge 237,Die drei ???
100,"Millieu 26
Kolja Goldstein, Eno",38,38.0,2,578935,Millieu 26,"Kolja Goldstein, Eno"
101,"I Run
HAVEN., Kaitlin Aragon",19,114.0,14,576437,I Run,"HAVEN., Kaitlin Aragon"
102,"Kapitel 11: und der rote Büffel - Folge 237
Die drei ???",102,,1,575294,Kapitel 11: und der rote Büffel - Folge 237,Die drei ???
103,"One Dance
Drake, Wizkid, Kyla",22,107.0,9,575155,One Dance,"Drake, Wizkid, Kyla"
104,"ICH VERACHTE
AssiH, Weyhv351",74,124.0,9,574947,ICH VERACHTE,"AssiH, Weyhv351"
105,"Kapitel 05: und der rote Büffel - Folge 237
Die drei ???",105,,1,572840,Kapitel 05: und der rote Büffel - Folge 237,Die drei ???
106,"Thank You (Not So Bad)
Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",13,127.0,9,570698,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike"
107,"Kapitel 12: und der rote Büffel - Folge 237
Die drei ???",107,,1,569734,Kapitel 12: und der rote Büffel - Folge 237,Die drei ???
108,"Smells Like Teen Spirit
Nirvana",95,128.0,9,568032,Smells Like Teen Spirit,Nirvana
109,"Kapitel 13: und der rote Büffel - Folge 237
Die drei ???",109,,1,565904,Kapitel 13: und der rote Büffel - Folge 237,Die drei ???
110,"Erkläre mir die Liebe
Chrissyjeey, Lea Marie",24,110.0,5,565844,Erkläre mir die Liebe,"Chrissyjeey, Lea Marie"
111,"Bibi und Tina Lied
Bibi und Tina",72,108.0,9,563919,Bibi und Tina Lied,Bibi und Tina
112,"BIRDS OF A FEATHER
Billie Eilish",7,100.0,9,561429,BIRDS OF A FEATHER,Billie Eilish
113,"Kapitel 14: und der rote Büffel - Folge 237
Die drei ???",113,,1,559442,Kapitel 14: und der rote Büffel - Folge 237,Die drei ???
114,"Ombre Nomade
SadiQ, Dú Maroc, KC Rebell, Kolja Goldstein",35,80.0,12,559259,Ombre Nomade,"SadiQ, Dú Maroc, KC Rebell, Kolja Goldstein"
115,"Rakete - Party Edit
Mätropolis, Dj Aaron",13,13.0,7,558378,Rakete - Party Edit,"Mätropolis, Dj Aaron"
116,"I Love It (feat. Charli XCX)
Icona Pop, Charli xcx",116,118.0,2,558003,I Love It (feat. Charli XCX),"Icona Pop, Charli xcx"
117,"ALL IN (Lieblingslieder)
Fäaschtbänkler",21,34.0,9,557252,ALL IN (Lieblingslieder),Fäaschtbänkler
118,"NO BATIDÃO - Slowed
ZXKAI, slxughter",89,103.0,9,556710,NO BATIDÃO - Slowed,"ZXKAI, slxughter"
119,"Fame is a Gun
Addison Rae",106,123.0,8,556445,Fame is a Gun,Addison Rae
120,"Back outside
Sosa La M",3,132.0,17,553187,Back outside,Sosa La M
121,"Phantom
EsDeeKid, Rico Ace",38,120.0,19,552519,Phantom,"EsDeeKid, Rico Ace"
122,"Wie?
AYLIVA",1,115.0,9,551344,Wie?,AYLIVA
123,"Kapitel 03: und der rote Büffel - Folge 237
Die drei ???",123,,1,550239,Kapitel 03: und der rote Büffel - Folge 237,Die drei ???
124,"Love all night
Amo, Aymen",1,111.0,34,547783,Love all night,"Amo, Aymen"
125,"Kapitel 01: und der rote Büffel - Folge 237
Die drei ???",125,,1,546381,Kapitel 01: und der rote Büffel - Folge 237,Die drei ???
126,"SABÍA QUE NO
reezy",1,181.0,9,545772,SABÍA QUE NO,reezy
127,"Kapitel 15: und der rote Büffel - Folge 237
Die drei ???",127,,1,544345,Kapitel 15: und der rote Büffel - Folge 237,Die drei ???
128,"Kapitel 02: und der rote Büffel - Folge 237
Die drei ???",128,,1,542342,Kapitel 02: und der rote Büffel - Folge 237,Die drei ???
129,"Generation Z
HWZ",129,,1,541729,Generation Z,HWZ
130,"Tirol
DJ Ötzi",13,60.0,11,540934,Tirol,DJ Ötzi
131,"How You Remind Me
Nickelback",131,159.0,3,534288,How You Remind Me,Nickelback
132,"Just Dance
Lady Gaga, Colby O'Donis",91,143.0,9,531828,Just Dance,"Lady Gaga, Colby O'Donis"
133,"Gangsta's Paradise
Coolio, L.V.",39,138.0,9,525378,Gangsta's Paradise,"Coolio, L.V."
134,"Kapitel 16: und der rote Büffel - Folge 237
Die drei ???",134,,1,524313,Kapitel 16: und der rote Büffel - Folge 237,Die drei ???
135,"UP SEHEN
reezy",135,,1,518854,UP SEHEN,reezy
136,"Viva La Vida
Coldplay",57,140.0,9,518636,Viva La Vida,Coldplay
137,"Promiscuous
Nelly Furtado, Timbaland",104,148.0,9,516847,Promiscuous,"Nelly Furtado, Timbaland"
138,"Cinnamon Girl
Lana Del Rey",112,135.0,6,516837,Cinnamon Girl,Lana Del Rey
139,"What I've Done
Linkin Park",48,174.0,7,516237,What I've Done,Linkin Park
140,"Running Up That Hill (A Deal With God)
Kate Bush",3,150.0,13,514755,Running Up That Hill (A Deal With God),Kate Bush
141,"Feel Good Inc.
Gorillaz, De La Soul",98,154.0,9,513254,Feel Good Inc.,"Gorillaz, De La Soul"
142,"Kapitel 17: und der rote Büffel - Folge 237
Die drei ???",142,,1,510205,Kapitel 17: und der rote Büffel - Folge 237,Die drei ???
143,"Hips Don't Lie (feat. Wyclef Jean)
Shakira, Wyclef Jean",85,142.0,5,510077,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean"
144,"Call Me Maybe
Carly Rae Jepsen",131,162.0,5,509501,Call Me Maybe,Carly Rae Jepsen
145,"WILDFLOWER
Billie Eilish",24,141.0,8,509229,WILDFLOWER,Billie Eilish
146,"Kapitel 18: und der rote Büffel - Folge 237
Die drei ???",146,,1,508373,Kapitel 18: und der rote Büffel - Folge 237,Die drei ???
147,"Poker Face
Lady Gaga",80,153.0,9,507772,Poker Face,Lady Gaga
148,"The Days - NOTION Remix
Chrystal, NOTION",21,179.0,9,507583,The Days - NOTION Remix,"Chrystal, NOTION"
149,"We Don't Care
Akon",149,,1,507418,We Don't Care,Akon
150,"Memories (feat. Kid Cudi)
David Guetta, Kid Cudi",66,152.0,9,506789,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi"
151,"Wunder
AYLIVA, Apache 207",1,151.0,96,504697,Wunder,"AYLIVA, Apache 207"
152,"Creep
Radiohead",110,166.0,9,502688,Creep,Radiohead
153,"I Adore You (feat. Daecolm)
HUGEL, Topic, Arash, Daecolm",15,184.0,9,502641,I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm"
154,"Mockingbird
Eminem",4,157.0,8,501365,Mockingbird,Eminem
155,"Ohne Dich (schlaf' ich heut Nacht nicht ein)
Münchener Freiheit",60,92.0,9,500558,Ohne Dich (schlaf' ich heut Nacht nicht ein),Münchener Freiheit
156,"Gsg9
Ghost61",156,,1,498173,Gsg9,Ghost61
157,"G Wagon
Gzuz",18,,1,497483,G Wagon,Gzuz
158,"Bibi Blocksberg Lied
Bibi Blocksberg",98,168.0,9,496800,Bibi Blocksberg Lied,Bibi Blocksberg
159,"Breakin' Dishes
Rihanna",24,165.0,9,495463,Breakin' Dishes,Rihanna
160,"WENN ICH NÜCHTERN WÄR
Julian Sommer, Luca-Dante Spadafora",73,73.0,2,494571,WENN ICH NÜCHTERN WÄR,"Julian Sommer, Luca-Dante Spadafora"
161,"Kapitel 19: und der rote Büffel - Folge 237
Die drei ???",161,,1,494050,Kapitel 19: und der rote Büffel - Folge 237,Die drei ???
162,"Enjoy the Silence
Depeche Mode",52,188.0,13,494002,Enjoy the Silence,Depeche Mode
163,"VOY A LLeVARTE PA PR
Bad Bunny",30,54.0,3,493451,VOY A LLeVARTE PA PR,Bad Bunny
164,"CHANEL
Tyla",49,169.0,14,493313,CHANEL,Tyla
165,"30 mal am Tag
Aymen, SIRA",1,146.0,8,492019,30 mal am Tag,"Aymen, SIRA"
166,"That’s So True
Gracie Abrams",2,177.0,9,489754,That’s So True,Gracie Abrams
167,"Alles neu
Peter Fox",53,,1,489667,Alles neu,Peter Fox
168,"Lean On
Major Lazer, DJ Snake, MØ",99,182.0,8,489106,Lean On,"Major Lazer, DJ Snake, MØ"
169,"Teenage Dirtbag
Wheatus",70,,1,486964,Teenage Dirtbag,Wheatus
170,"Sommergewitter
Pashanim",1,,1,486722,Sommergewitter,Pashanim
171,"Timber
Pitbull, Kesha",105,167.0,2,486284,Timber,"Pitbull, Kesha"
172,"Yeah! (feat. Lil Jon & Ludacris)
USHER, Lil Jon, Ludacris",43,137.0,9,485206,Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris"
173,"RADW
Haftbefehl, Bazzazian",9,160.0,18,484448,RADW,"Haftbefehl, Bazzazian"
174,"Softcore
The Neighbourhood",29,195.0,2,480401,Softcore,The Neighbourhood
175,"Kapitel 20: und der rote Büffel - Folge 237
Die drei ???",175,,1,479655,Kapitel 20: und der rote Büffel - Folge 237,Die drei ???
176,"Without Me
Eminem",37,193.0,8,479311,Without Me,Eminem
177,"This Is The Life
Amy Macdonald",73,,1,479027,This Is The Life,Amy Macdonald
178,"Coupe
Coldyaa",178,,1,477975,Coupe,Coldyaa
179,"Capri Sun
Aymen, Amo",4,172.0,8,477444,Capri Sun,"Aymen, Amo"
180,"MON BÉBÉ
RnBoi",73,183.0,9,477147,MON BÉBÉ,RnBoi
181,"Locked out of Heaven
Bruno Mars",38,164.0,7,477063,Locked out of Heaven,Bruno Mars
182,"Can't Stop
Red Hot Chili Peppers",182,,1,477034,Can't Stop,Red Hot Chili Peppers
183,"Pocketful of Sunshine
Natasha Bedingfield",183,196.0,2,476771,Pocketful of Sunshine,Natasha Bedingfield
184,"No Lie
Sean Paul, Dua Lipa",11,190.0,8,476131,No Lie,"Sean Paul, Dua Lipa"
185,"Outside (feat. Ellie Goulding)
Calvin Harris, Ellie Goulding",162,185.0,8,475111,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding"
186,"Secondhand (feat. Rema)
Don Toliver, Rema",49,136.0,4,475089,Secondhand (feat. Rema),"Don Toliver, Rema"
187,"I Gotta Feeling
Black Eyed Peas",56,,1,475014,I Gotta Feeling,Black Eyed Peas
188,"wgft (feat. Burna Boy)
Gunna, Burna Boy",158,199.0,7,473218,wgft (feat. Burna Boy),"Gunna, Burna Boy"
189,"We Found Love
Rihanna, Calvin Harris",59,189.0,2,473071,We Found Love,"Rihanna, Calvin Harris"
190,"Biertornado
PA69",190,,1,472500,Biertornado,PA69
191,"Don't Worry (with Ray Dalton) - Radio Edit
Madcon, Ray Dalton",191,,1,470338,Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton"
192,"Manchild
Sabrina Carpenter",33,171.0,4,468621,Manchild,Sabrina Carpenter
193,"The Night We Met
Lord Huron",41,192.0,4,467934,The Night We Met,Lord Huron
194,"Counting Stars
OneRepublic",97,200.0,9,467058,Counting Stars,OneRepublic
195,"Alors (feat. CAPO)
Kurdo, CAPO",39,180.0,9,466565,Alors (feat. CAPO),"Kurdo, CAPO"
196,"Shower
Becky G",196,,1,464429,Shower,Becky G
197,"OYE!
Jazeek",17,101.0,3,463081,OYE!,Jazeek
198,"Thunderstruck
AC/DC",177,,1,462832,Thunderstruck,AC/DC
199,"Summer Of '69
Bryan Adams",85,,1,462346,Summer Of '69,Bryan Adams
200,"KUSURA BAKMA
BLOK3",27,156.0,13,462030,KUSURA BAKMA,BLOK3
