rank,track_artist,peak,prev,streak,streams,track_name,artist_name
55,"Мазохистка
Selina",18,54.0,45,27439,Мазохистка,Selina
56,"NUEVAYoL
Bad Bunny",21,26.0,4,27382,NUEVAYoL,Bad Bunny
57,"Правена в България
Djordan",2,61.0,39,27322,Правена в България,Djordan
58,"TVOQTA LUBOV
V:RGO, Lidia",2,58.0,21,27113,TVOQTA LUBOV,"V:RGO, Lidia"
59,"Babydoll
Dominic Fike",59,91.0,3,26831,Babydoll,Dominic Fike
60,"WHERE IS MY HUSBAND!
RAYE",40,49.0,23,26785,WHERE IS MY HUSBAND!,RAYE
61,"Сила
MONA",14,50.0,5,26098,Сила,MONA
62,"Doseshtay se sam
Emanuela",53,60.0,28,26083,Doseshtay se sam,Emanuela
63,"Окадар
DJ Damyan, Emanuela",1,63.0,92,25738,Окадар,"DJ Damyan, Emanuela"
64,"DtMF
Bad Bunny",15,31.0,4,25729,DtMF,Bad Bunny
65,"Сърдити да няма
COCONUT HITS",2,53.0,10,25459,Сърдити да няма,COCONUT HITS
66,"Mutsuna
Djordan",59,83.0,23,25172,Mutsuna,Djordan
67,"Lush Life
Zara Larsson",30,56.0,11,24709,Lush Life,Zara Larsson
68,"Hasta La Vista Baby
Tedi Aleksandrova, Silver",7,64.0,28,24615,Hasta La Vista Baby,"Tedi Aleksandrova, Silver"
69,"Kato Tebe Vtori Nyama
Azis, Vanko 1",33,70.0,9,24228,Kato Tebe Vtori Nyama,"Azis, Vanko 1"
70,"Страх ме е
Emilia, Konstantin",42,42.0,3,24190,Страх ме е,"Emilia, Konstantin"
71,"Bez chuvstva
Emanuela",37,90.0,85,24129,Bez chuvstva,Emanuela
72,"Питаш ли ме
Medi",58,76.0,8,24098,Питаш ли ме,Medi
73,"Papaoutai - Afro Soul
mikeeysmind, Chill77, Unjaps",25,77.0,2,23955,Papaoutai - Afro Soul,"mikeeysmind, Chill77, Unjaps"
74,"Be Mine
Jimin",2,71.0,27,23910,Be Mine,Jimin
75,"Башмайсторска
Billy Hlapeto, Lexus, Dim4ou",44,73.0,102,23903,Башмайсторска,"Billy Hlapeto, Lexus, Dim4ou"
76,"Дай Пари
Toni Storaro",30,66.0,12,23571,Дай Пари,Toni Storaro
77,"Like Crazy
Jimin",6,96.0,6,23441,Like Crazy,Jimin
78,"4 Raws
EsDeeKid",29,68.0,17,23335,4 Raws,EsDeeKid
79,"Мераклия
Djordan",2,92.0,62,23285,Мераклия,Djordan
80,"Jamaican (Bam Bam)
HUGEL, SOLTO (FR)",80,132.0,4,22961,Jamaican (Bam Bam),"HUGEL, SOLTO (FR)"
81,"Мале
Robi, MONA",25,75.0,24,22951,Мале,"Robi, MONA"
82,"Da Si Plashtal
Emanuela",36,88.0,29,22758,Da Si Plashtal,Emanuela
83,"Разкажи ѝ
Dessita",2,65.0,57,22744,Разкажи ѝ,Dessita
84,"Момче без сърце
Galin",67,82.0,26,22353,Момче без сърце,Galin
85,"S‘Agapao
Adam",11,80.0,35,22229,S‘Agapao,Adam
86,"Зарязан
Medi",86,176.0,2,22187,Зарязан,Medi
87,"Амстердам
Silver, DJ Ceci Ludata Glava",2,78.0,35,22158,Амстердам,"Silver, DJ Ceci Ludata Glava"
88,"Mi Amor
Dessita, Djordan",1,79.0,90,22001,Mi Amor,"Dessita, Djordan"
89,"Звъня ти, ало
Galin",2,74.0,47,21911,"Звъня ти, ало",Galin
90,"Century
EsDeeKid",28,86.0,16,21691,Century,EsDeeKid
91,"Щото е маймуна
Krisko, TuFo",6,119.0,94,21547,Щото е маймуна,"Krisko, TuFo"
92,"Set Me Free Pt.2
Jimin",32,106.0,4,21497,Set Me Free Pt.2,Jimin
