rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
32,"Who
Jimin",1,32.0,84,1272794,Who,Jimin,170887,False,False,2024-07-19,1oSPZhvZMIrWW5I41kPkkY,7tI8dRuH2Yc6RuoTjxo4dU,171
33,"HAPPY BIRTHDAY
back number",13,33.0,281,1268777,HAPPY BIRTHDAY,back number,258333,False,False,2019-03-27,6rs1KAoQnFalSqSU4LTh8g,4FMz2RFrbDGzJO7K4D0vS3,258
34,"カリスマックス - CHARISMAX
Snow Man",12,36.0,27,1243223,カリスマックス - CHARISMAX,Snow Man,177433,False,False,2025-08-25,0UuiWPm9FpWvRuWNrXO98N,76OElzXqlyLCdlSypwSKBy,177
35,"ケセラセラ
Mrs. GREEN APPLE",3,34.0,149,1238519,ケセラセラ,Mrs. GREEN APPLE,272226,False,False,2023-07-04,4QvgGvpgzgyUOo8Yp8LDm9,0teqQ0PYqVDyyXJuPOyMhu,272
36,"3XL
Number_i",8,24.0,5,1230458,3XL,Number_i,165454,False,False,2026-01-29,4XFkDALFTsSHVnRtJSsaMN,3sNbkM4pIy1l7p6K2lhpvm,165
37,"Never Grow Up
CHANMINA",37,49.0,63,1192146,Never Grow Up,CHANMINA,196253,False,False,2019-08-07,2vjeuQwzSP5ErC1S41gONX,5aDgM8rYPT15CqjkN1EIKq,196
38,"ヒロイン
back number",4,35.0,72,1184529,ヒロイン,back number,269786,False,False,2015-12-09,6rs1KAoQnFalSqSU4LTh8g,3hBAYbAECEix9raaTq8S3H,270
39,"GOD_i
Number_i",11,40.0,57,1182890,GOD_i,Number_i,215032,False,False,2025-09-22,4XFkDALFTsSHVnRtJSsaMN,0burgYTcpItZGiRjvWhJjM,215
40,"My Body
HANA",6,47.0,20,1154233,My Body,HANA,203296,False,False,2025-10-13,7fmXV2O48buswss04YetaN,4tQPrEh1GZYlSLDx5gLtxs,203
41,"クスシキ
Mrs. GREEN APPLE",1,39.0,47,1145813,クスシキ,Mrs. GREEN APPLE,189426,False,False,2025-07-06,4QvgGvpgzgyUOo8Yp8LDm9,57zS3lPil2VxdlBLXHu8l2,189
42,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",14,38.0,33,1116436,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",194607,False,False,2025-06-20,2yNNYQBChuox9A5Ka93BIn,1CPZ5BxNNd0n0nF4Orb9JS,195
43,"セレナーデ
natori",35,41.0,5,1085382,セレナーデ,natori,219733,False,False,2026-01-21,6WmXWHmfBMhupyIs8MSqtu,0CWAQlHsvfqcKJVVz9up2R,220
44,"IRANAI
sakanaction",30,30.0,3,1065864,IRANAI,sakanaction,226313,False,False,2026-02-11,0hCWVMGGQnRVfDgmhwLIxq,4b4rwXmVgXV8AnVZRJPt32,226
45,"恋
back number",29,43.0,131,1058147,恋,back number,253306,False,False,2012-11-21,6rs1KAoQnFalSqSU4LTh8g,7f9DsQEsIoeTwKxV6shsom,253
46,"恋風
Lilas",11,44.0,46,1043682,恋風,Lilas,183560,False,False,2025-12-10,1qM11R4ylJyQiPJ0DffE9z,3gw8n3DG28VaYGuVc3lqxl,184
47,"Tiger
HANA",37,42.0,44,1028706,Tiger,HANA,190080,False,False,2025-04-23,7fmXV2O48buswss04YetaN,20VZXnRzvcS0qVMOThjjmM,190
48,"TEST ME
CHANMINA",38,45.0,6,1021797,TEST ME,CHANMINA,171482,False,False,2026-01-14,2vjeuQwzSP5ErC1S41gONX,1chmVQLbEPT5890S0X55pe,171
49,"GOOD DAY
Mrs. GREEN APPLE",8,46.0,22,1000817,GOOD DAY,Mrs. GREEN APPLE,257070,False,False,2025-09-27,4QvgGvpgzgyUOo8Yp8LDm9,61UOoqGI1B9qdeD5Dzupyb,257
50,"シルエット
KANA-BOON",33,48.0,18,940030,シルエット,KANA-BOON,240133,False,False,2015-01-21,3PWp9R5HvbQgxI5KBx5kVd,1di1C0QI6Y92yZPYn6XYAZ,240
