rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
36,"Rahasia Hati
Nidji",31,34.0,89,2908043,Rahasia Hati,Nidji,250682,False,False,2014-03-03,4sEWznAKWWNcicTuLxzb6d,6zrnrcry6OHVFo3EDt6PYa,251
37,"Sempurna
Andra & The Backbone",15,37.0,235,2900576,Sempurna,Andra & The Backbone,268422,False,False,2006-12-28,4ucwey7FxkHXkLK7jSfevU,2UgCs0i0rNHUH2jKE5NZHE,268
38,"Terbuang Dalam Waktu
Barasuara",11,32.0,33,2897048,Terbuang Dalam Waktu,Barasuara,281173,False,False,2024-06-21,5RbI1PF4n02wWKmgjk7hAE,5fmyW3X3kncOOVlmcWhORH,281
39,"Duka
Last Child",10,35.0,241,2840020,Duka,Last Child,325147,False,False,2016-09-25,1v1khTmozNfxB2ET1Ep288,5MIpcd16T59wFeqAChSYwC,325
40,"Seandainya
Vierra",18,44.0,261,2759931,Seandainya,Vierra,263407,False,False,2011-06-01,1WX2v0BiEW19Vw7xmznLdZ,5NmjnghJGJRFg34KGGx8O0,263
41,"back to friends
sombr",11,42.0,42,2747666,back to friends,sombr,199032,False,False,2025-08-22,4G9NDjRyZFDlJKMRL8hx3S,7qjZnBKE73H4Oxkopwulqe,199
42,"Kembali Pulang
Suara Kayu, Feby Putri",11,40.0,159,2740606,Kembali Pulang,"Suara Kayu, Feby Putri",207898,False,False,2022-10-28,327ipGIr9bD3MkLb2eucqC,6xeqCawPZngDVqw2W2aGaR,208
43,"Anugerah Terindah
Andmesh",1,50.0,66,2690041,Anugerah Terindah,Andmesh,282200,False,False,2023-09-22,6IDsZZ4IHgs9VblBgQQSmt,6gjkHuMOR0CrN7Vb2NoEdg,282
44,"Merindumu lagi
Khifnu",39,43.0,24,2679350,Merindumu lagi,Khifnu,218571,False,False,2025-07-15,7eKNo6fozgNsKThGC40ol7,69Qo7v0lcQucfMIzu1nCVd,219
45,"Tenang
Judika, Andi Rianto",45,55.0,7,2625385,Tenang,"Judika, Andi Rianto",297058,False,False,2025-08-20,5fS7aONqrIhiw6YzgKVOsd,1TMvBhqekWmWJSxpmUMgFz,297
46,"Runtuh
Feby Putri, Fiersa Besari",1,49.0,225,2614579,Runtuh,"Feby Putri, Fiersa Besari",223973,False,False,2021-10-01,66NmU5epI0ONGmdCRbLpmW,6Hii26x3qDErVitnGW8QtO,224
47,"Aku Milikmu
Dewa 19",18,41.0,39,2570123,Aku Milikmu,Dewa 19,332733,False,False,1994-06-16,48bKH1ugFBhERC1rdojP9d,5JESuE80fvausWHjcT9QVh,333
48,"TABOLA BALE
Silet Open Up, Jacson Seran, Juan Reza, Diva Aurel",1,38.0,37,2521540,TABOLA BALE,"Silet Open Up, Jacson Seran, Juan Reza, Diva Aurel",274381,False,False,2025-04-04,5naPJsWUJ6y22yKXA6dX36,7mqG8I1JG0iQAejC53qpbU,274
49,"Jakarta Hari Ini
For Revenge, Stereo Wall",7,51.0,87,2494196,Jakarta Hari Ini,"For Revenge, Stereo Wall",221000,False,False,2022-09-06,0f6TyESD8E1mD2oLJ4TGv1,6AyBbSvcR2ZwTeR30I4jb9,221
50,"Surat Cinta Untuk Starla
Virgoun",38,46.0,96,2454027,Surat Cinta Untuk Starla,Virgoun,308036,False,False,2016-02-16,4bAgr9zaF0bpzVGHdHuf0f,5o6StwqqVfG3vRLx8UP310,308
