rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
58,"Italiano,Cigan,Arab
Danior, Tunisino",9,55.0,10,38778,"Italiano,Cigan,Arab","Danior, Tunisino",124267,True,False,2025-12-16,24h0R60ekkrC3dDH3J7R5H,0ByJbHq3o1ssNSTSWZAZi9,124
59,"Strach
BUKA",1,60.0,16,38391,Strach,BUKA,205048,True,False,2025-11-12,5hXMMzNyqGj17MtUASdtnI,5JShUXhGOwqhqwJVGjqVWk,205
60,"BAILE INoLVIDABLE
Bad Bunny",17,33.0,4,38293,BAILE INoLVIDABLE,Bad Bunny,367725,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,2lTm559tuIvatlT1u0JYG2,368
61,"Don't Stop The Music
Rihanna",50,61.0,61,37864,Don't Stop The Music,Rihanna,267080,False,False,2007-01-01,5pKCCKE2ajJHZ9KAiaK11H,1Jo0Zg7XlrA6z0mFTZVdkn,267
62,"Pinokio
Separ, Dano Kapitán",12,65.0,96,37739,Pinokio,"Separ, Dano Kapitán",217053,True,False,2020-05-03,3LujD0iQ9jRbSCMA39CGfO,0kN7F9Hc6sjJ5WPuuyJJNi,217
63,"Swagsucks
Separ",2,66.0,48,37272,Swagsucks,Separ,162173,True,False,2025-03-30,3LujD0iQ9jRbSCMA39CGfO,3kGZG7KKmJmJV85JtDAUwn,162
64,"Nemáme
Raphael, Hard Rico",36,54.0,29,37027,Nemáme,"Raphael, Hard Rico",221202,True,False,2024-04-12,3RryZO1NCx4BNG6TWyieTe,7k7FJqta8D0oq9vmMytl3p,221
65,"Free Love
Raphael, Calin",29,63.0,19,36557,Free Love,"Raphael, Calin",142571,True,False,2024-04-12,3RryZO1NCx4BNG6TWyieTe,2a0qU1SG7TqwIJw4ncxvAw,143
66,"Svoboda
Yzomandias, P T K, Sara Rikas",15,69.0,66,36546,Svoboda,"Yzomandias, P T K, Sara Rikas",165618,True,False,2024-11-22,721o1Z0J6jQupyzLt9RnEk,6QMXFOrO3SLcemX2lGRVP1,166
67,"EoO
Bad Bunny",31,35.0,3,36055,EoO,Bad Bunny,204768,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,6J5kc12BW5HuP3d7C3vvx8,205
68,"10 Minút
Nerieš, DMS",37,75.0,61,35894,10 Minút,"Nerieš, DMS",331849,True,False,2016-10-23,4qla74GaFZkhFIUQvGZAEN,3GAD4OTfUu4k5Y3euOFYat,332
69,"Riptide
Vance Joy",26,79.0,9,34871,Riptide,Vance Joy,204280,False,False,2014-08-05,10exVja0key0uqUkk6LJRT,2uXlHCUbq9OMUwx3hrk06o,204
70,"Drag Path
Twenty One Pilots",70,,1,34844,Drag Path,Twenty One Pilots,224000,False,False,2026-02-17,3YQKmKGau1PzlVlkL1iodx,0TlcczkVTGpinpkGJpT81L,224
71,"So Easy (To Fall In Love)
Olivia Dean",71,78.0,8,34612,So Easy (To Fall In Love),Olivia Dean,169000,False,False,2025-09-26,00x1fYSGhdqScXBRpSj3DW,6sGIMrtIzQjdzNndVxe397,169
72,"Century
EsDeeKid",36,70.0,16,34189,Century,EsDeeKid,109714,True,False,2025-10-31,0EyhkwP3UnwGFBy6xwKjSy,1lJOLxDS8kS2rihrqezMcv,110
73,"Inverzia
Pil C, Viktor Sheen",2,71.0,84,34107,Inverzia,"Pil C, Viktor Sheen",204600,False,False,2023-02-14,2U1l35agymGrBDFeMIxVLG,0fP30PpvCS3AB4hBN91GPY,205
74,"Viac
Nerieš, Separ",1,88.0,114,34093,Viac,"Nerieš, Separ",212727,True,False,2020-03-05,4qla74GaFZkhFIUQvGZAEN,2zCkru42FlOYnguzb9Z4aT,213
75,"We Are The People
Empire Of The Sun",55,68.0,52,33767,We Are The People,Empire Of The Sun,267373,False,False,2008-10-03,67hb7towEyKvt5Z8Bx306c,3zEN0ii6s4DHHBpnTp3RP7,267
76,"Zoo
Disney, Shakira",71,74.0,11,33672,Zoo,"Disney, Shakira",190822,False,False,2025-11-21,3xvaSlT4xsyk6lY1ESOspO,3vJIaiTIHxHhYafTSPNiH4,191
77,"Sweater Weather
The Neighbourhood",16,73.0,283,33594,Sweater Weather,The Neighbourhood,240400,False,False,2013-04-22,77SW9BnxLY8rJ0RciFqkHh,2QjOHCTQ1Jl3zawyYOpxh6,240
78,"Give Me Everything (feat. Nayer)
Pitbull, AFROJACK, Ne-Yo, Nayer",15,76.0,9,33304,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",252306,False,False,2011-06-17,0TnOYISbd1XYRBk9myaseg,4QNpBfC0zvjKqPJcyqBy9W,252
79,"NARCOS
Hard Rico, Yzomandias",2,89.0,91,33133,NARCOS,"Hard Rico, Yzomandias",191250,True,False,2024-10-18,4Vmja4orT3sZ2F3x3DanBZ,5HVr2Ay42xJgB2VZ7CUJQJ,191
80,"LV Sandals
EsDeeKid, fakemink, Rico Ace",36,72.0,18,32712,LV Sandals,"EsDeeKid, fakemink, Rico Ace",111157,True,False,2025-06-20,0EyhkwP3UnwGFBy6xwKjSy,5uz5v1hRZLjNGatcPtOWUv,111
81,"Danza Kuduro
Don Omar, Lucenzo",36,93.0,9,32431,Danza Kuduro,"Don Omar, Lucenzo",198773,False,False,2010-01-01,33ScadVnbm2X8kkUqOkC6Z,2a1o6ZejUi8U3wzzOtCOYw,199
82,"Only Girl (In The World)
Rihanna",81,81.0,9,32330,Only Girl (In The World),Rihanna,235493,False,False,2010-01-01,5pKCCKE2ajJHZ9KAiaK11H,2ENexcMEMsYk0rVJigVD3i,235
83,"Iris
The Goo Goo Dolls",69,85.0,9,32047,Iris,The Goo Goo Dolls,289533,False,False,1998,2sil8z5kiy4r76CRTXxBCA,6Qyc6fS4DsZjB2mRW9DsQs,290
84,"Safír
Calin, Viktor Sheen",1,90.0,160,32022,Safír,"Calin, Viktor Sheen",149589,False,False,2023-02-03,5lEkQtWa3UKlI1hj7sktcd,1tpWtFdAuY9chjl5YhzsTP,150
85,"TOKIO
13K",85,,1,31751,TOKIO,13K,211200,True,False,2026-02-19,0DXtbUJKCkHeaHPQPzFM9a,5JRWdKVKFwcYBbOk68CLVf,211
86,"Fame is a Gun
Addison Rae",80,91.0,9,31631,Fame is a Gun,Addison Rae,183237,False,False,2025-06-06,4gvjmrtzydbMpyJaXUtwvP,7B3BwNecBhKvNwSMOOl7Gk,183
87,"W!LD
Shimmi",54,83.0,13,31523,W!LD,Shimmi,120300,True,False,2025-11-28,5QLfxY8Phcamadzx1r79ck,2wxdaWPCQ71uewXjyfBUU0,120
88,"Somewhere I Belong
Linkin Park",80,100.0,9,31335,Somewhere I Belong,Linkin Park,213933,False,False,2003-03-25,6XyY86QOPPrYVGvF9ch6wz,3agtg0x11wPvLIWkYR39nZ,214
89,"NO BATIDÃO
ZXKAI, slxughter",82,82.0,6,31270,NO BATIDÃO,"ZXKAI, slxughter",107933,True,False,2025-09-05,5tIkxADHN80ca0K6HCpWIt,72YttnPRxyHe8zCG50jYhj,108
90,"Kdo??
Robin Zoot, BUKA",58,58.0,2,31261,Kdo??,"Robin Zoot, BUKA",169600,True,False,2026-02-10,28oxY7ZfDt1BJFf8FVfpEh,7v26hAmRxygMsg2SYKibzF,170
91,"BIRDS OF A FEATHER
Billie Eilish",8,77.0,9,30990,BIRDS OF A FEATHER,Billie Eilish,210373,False,False,2024-05-17,6qqNVTkY8uBg9cP3Jd7DAH,6dOtVTDdiauQNBQEDOtlAB,210
92,"Te Amo
Miki Goldy",9,87.0,19,30989,Te Amo,Miki Goldy,153600,False,False,2025-10-16,5Rlr2uNakCyP6CPOdw474I,0woKdzamzKvMXps6AemWIV,154
93,"Jak Robot
GUFRAU, Victor Kal., SIMILIVINLIFE",17,80.0,8,30879,Jak Robot,"GUFRAU, Victor Kal., SIMILIVINLIFE",146823,True,False,2025-12-31,0WpBMqO4ai8W3rh3ffW14Q,4QYBPf22ldsJoz2CObRU1H,147
94,"Vyjebala Rešpekt
Separ, Matej Straka",15,103.0,9,30856,Vyjebala Rešpekt,"Separ, Matej Straka",287333,True,False,2017-06-26,3LujD0iQ9jRbSCMA39CGfO,6qccVBVMufw9uiFGEVLz6R,287
95,"All The Things She Said
t.A.T.u.",70,86.0,9,30827,All The Things She Said,t.A.T.u.,214440,True,False,2002,2Q3eZMfDQgT8MhPowKFXYO,4bJygwUKrRgq1stlNXcgMg,214
96,"dole
Pil C, Luca Brassi10x, Dollar Prync",2,95.0,38,30323,dole,"Pil C, Luca Brassi10x, Dollar Prync",179130,True,False,2025-06-06,2U1l35agymGrBDFeMIxVLG,60s9qt0f9uweJvExCjHSyb,179
97,"100g
AstralKid22",97,199.0,2,30238,100g,AstralKid22,141404,True,False,2026-02-22,1i1DQiBhPIvgpNnVQ69cgJ,7B6o5XNipGWJB86kt27iGi,141
98,"AQUA
Shimmi",5,97.0,9,30204,AQUA,Shimmi,117910,True,False,2025-11-28,5QLfxY8Phcamadzx1r79ck,1OzrhN3pKoelHuXPq7w8yv,118
99,"ROOFTOP
Yzomandias, P T K, Luca Brassi10x, Hard Rico, 13Many",16,110.0,66,30023,ROOFTOP,"Yzomandias, P T K, Luca Brassi10x, Hard Rico, 13Many",255774,True,False,2024-11-22,721o1Z0J6jQupyzLt9RnEk,40NDq9cPK2bxBlkPFATZWw,256
100,"Ocean Eyes
Raphael",71,84.0,35,30001,Ocean Eyes,Raphael,172225,False,False,2022-12-02,3RryZO1NCx4BNG6TWyieTe,7LywEIE8nudZqK6c20MOUQ,172
101,"Lean On
Major Lazer, DJ Snake, MØ",64,102.0,8,29474,Lean On,"Major Lazer, DJ Snake, MØ",176561,False,False,2015-06-01,738wLrAtLtCtFOLvQBXOXp,01aTsQoKoeXofSTvKuunzv,177
102,"I'm back
Separ, Sara Rikas",12,96.0,9,29357,I'm back,"Separ, Sara Rikas",194413,True,False,2025-03-30,3LujD0iQ9jRbSCMA39CGfO,6yvop4JC7yK1cXaIpC4PvJ,194
103,"Vítej mezi náma (feat. STEIN27)
Calin, STEIN27",4,128.0,64,29122,Vítej mezi náma (feat. STEIN27),"Calin, STEIN27",193548,True,False,2024-12-06,5lEkQtWa3UKlI1hj7sktcd,4oLJGn19J4OWAPC7fV5b5E,194
104,"Ruka Na Volante
Nerieš",2,105.0,9,29105,Ruka Na Volante,Nerieš,172071,False,False,2020-03-05,4qla74GaFZkhFIUQvGZAEN,32X1PwQVeATkp4soNcu5BW,172
105,"Vodka není voda
Lboy Bsc, Dorian, Freez247",105,,1,29092,Vodka není voda,"Lboy Bsc, Dorian, Freez247",206817,True,False,2025-10-24,7HjHXYRxGom5mjP1lHKHW2,33l3BKJazySRMviJXQVTBJ,207
106,"Faint
Linkin Park",58,106.0,8,29030,Faint,Linkin Park,162106,False,False,2003-03-25,6XyY86QOPPrYVGvF9ch6wz,4Yf5bqU3NK4kNOypcrLYwU,162
107,"Can't Hold Us (feat. Ray Dalton)
Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",35,126.0,9,29005,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",258431,False,False,2012-10-09,3JhNCzhSMTxs9WLGJJxWOY,22skzmqfdWrjJylampe0kt,258
108,"Až na měsíc
Viktor Sheen, Calin, Hasan, Nik Tendo",4,115.0,35,28976,Až na měsíc,"Viktor Sheen, Calin, Hasan, Nik Tendo",208695,True,False,2019-05-16,4cG43cUBRJWWDsRh4SW48i,3rxHQ7HeJCpiei1d6ANDPW,209
109,"Chains of Love
Charli xcx",109,200.0,2,28969,Chains of Love,Charli xcx,170211,False,False,2026-02-13,25uiPmTg16RbhZWAqwLBy5,77qLAmRzMPetmXywybpH15,170
110,"Syndrom
Viktor Sheen",2,127.0,68,28806,Syndrom,Viktor Sheen,166299,False,False,2024-11-08,4cG43cUBRJWWDsRh4SW48i,6gj6FXx7jZXOOdLX4aNaSK,166
111,"Sexy Bitch (feat. Akon)
David Guetta, Akon",80,145.0,4,28614,Sexy Bitch (feat. Akon),"David Guetta, Akon",195853,True,False,2009-08-21,1Cs0zKBU1kc0i8ypK3B9ai,0uXO2GrNiIb1xHT9LUdxZE,196
112,"TY A JA
Alan Murin, Kali, Peter Pann",10,107.0,9,28430,TY A JA,"Alan Murin, Kali, Peter Pann",169319,False,False,2025-06-05,6pNpb0Hcy98NRr1e8Vhxss,2xR7lQvCRF53gYz7H8IZfD,169
113,"Memories (feat. Kid Cudi)
David Guetta, Kid Cudi",95,99.0,9,28201,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",209226,True,False,2010-11-22,1Cs0zKBU1kc0i8ypK3B9ai,5p3SJ3CYqrmFbboAtfNo5n,209
114,"Nemam mood
Separ, Peter Pann",3,92.0,9,28173,Nemam mood,"Separ, Peter Pann",193636,True,False,2023-03-31,3LujD0iQ9jRbSCMA39CGfO,1BnuGuGGEv1mIpJEmDZ5nq,194
115,"Die With A Smile
Lady Gaga, Bruno Mars",4,98.0,9,28157,Die With A Smile,"Lady Gaga, Bruno Mars",251667,False,False,2024-08-16,1HY2Jd0NmPuamShAr6KMms,2plbrEY59IikOBgBGLjaoe,252
116,"Antarktida
Sergei Barracuda, Luca Brassi10x",4,104.0,22,27680,Antarktida,"Sergei Barracuda, Luca Brassi10x",210859,True,False,2025-09-25,1hwvc8bcyy9ruXXXRLcfko,1IeSKALeTrDx7H17xqxlXT,211
117,"APT.
ROSÉ, Bruno Mars",2,119.0,9,27675,APT.,"ROSÉ, Bruno Mars",169917,False,False,2024-10-18,3eVa5w3URK5duf6eyVDbu9,5vNRhkKd0yEAg8suGBpjeY,170
118,"Na Očiach Vyryté
Saul, Viktor Sheen",2,118.0,9,27584,Na Očiach Vyryté,"Saul, Viktor Sheen",220502,False,False,2025-01-17,6xg3PSVEwviVyfnx3mtsPL,1Qzgt6gOMrwhMlmiBl3jbc,221
119,"Fashion Princess
G1nter",119,197.0,2,27514,Fashion Princess,G1nter,132923,True,False,2026-02-15,34VKnmbZyMrLr4Mwd13kOa,23nJokuKyPOwDD0pfqA0xX,133
120,"Beautiful Things
Benson Boone",2,129.0,9,27460,Beautiful Things,Benson Boone,180304,False,False,2024-04-05,22wbnEMDvgVIAGdFeek6ET,3xkHsmpQCBMytMJNiDf3Ii,180
121,"Another Love
Tom Odell",7,101.0,9,27442,Another Love,Tom Odell,244360,True,False,2013-06-24,2txHhyCwHjUEpJjWrEyqyX,3JvKfv6T31zO0ini8iNItO,244
122,"Cígo a káva (feat. Saul)
Viktor Sheen, Saul",1,141.0,68,27442,Cígo a káva (feat. Saul),"Viktor Sheen, Saul",183428,True,False,2024-11-08,4cG43cUBRJWWDsRh4SW48i,2UD4l3evthKlDOM6HSrc9N,183
123,"KSN - PINTLICH REMIX
Yzomandias, Ektor, P T K, Robin Zoot, Nik Tendo, PINTLICH",14,138.0,4,27239,KSN - PINTLICH REMIX,"Yzomandias, Ektor, P T K, Robin Zoot, Nik Tendo, PINTLICH",188571,True,False,2025-06-04,721o1Z0J6jQupyzLt9RnEk,2K4y6LbyUOr03ktqAaMZmD,189
124,"I Love It (feat. Charli XCX)
Icona Pop, Charli xcx",118,120.0,2,27188,I Love It (feat. Charli XCX),"Icona Pop, Charli xcx",157152,True,False,2013-08-23,1VBflYyxBhnDc9uVib98rw,6HZ9VeI5IRFCNQLXhpF4bq,157
125,"The Emptiness Machine
Linkin Park",2,137.0,9,27170,The Emptiness Machine,Linkin Park,190427,True,False,2024-11-15,6XyY86QOPPrYVGvF9ch6wz,1EDPVGbyPKJPeGqATwXZvN,190
126,"Hannah Montana
Calin",1,125.0,61,27120,Hannah Montana,Calin,158607,False,False,2022-03-11,5lEkQtWa3UKlI1hj7sktcd,2sXnat46y10FtAbW2A0ira,159
127,"Pátky
Viktor Sheen",7,139.0,68,27093,Pátky,Viktor Sheen,188571,True,False,2024-11-08,4cG43cUBRJWWDsRh4SW48i,1nwKq6t4wpKLK2bWkDVm3e,189
128,"HAYABUSA
Hard Rico",3,124.0,24,27057,HAYABUSA,Hard Rico,199111,True,False,2025-09-11,4Vmja4orT3sZ2F3x3DanBZ,4Es9Odl5pS4pNWLiHyZMyh,199
129,"Breakin' Dishes
Rihanna",31,113.0,9,26983,Breakin' Dishes,Rihanna,200573,False,False,2007-01-01,5pKCCKE2ajJHZ9KAiaK11H,5EcG8eMMlwkHRVa4aTR1qd,201
130,"Silný refrén
Horkýže Slíže",81,133.0,6,26970,Silný refrén,Horkýže Slíže,188838,False,False,2007-03-09,1Vokrr21dze8HRk1oeWq9o,6wnc03soJZURZVtyAbK81X,189
131,"NYC Mindset
Shimmi",16,112.0,9,26810,NYC Mindset,Shimmi,152073,True,False,2024-03-15,5QLfxY8Phcamadzx1r79ck,7CN0OwCU02ubIN46aJscxI,152
132,"Heartless
Kanye West",28,116.0,9,26523,Heartless,Kanye West,211000,False,False,2008-11-24,5K4W6rqBFWDnAN6FQUkS6x,4EWCNWgDS8707fNSZ1oaA5,211
133,"Z BLATA
Zayo, Luca Brassi10x, Raphael",54,134.0,12,26522,Z BLATA,"Zayo, Luca Brassi10x, Raphael",187245,True,False,2025-12-05,0lf8LVkrjg9GudchoppC5q,4YZFYWY8P17JZPADxbZXWw,187
134,"We Found Love
Rihanna, Calvin Harris",110,132.0,6,26457,We Found Love,"Rihanna, Calvin Harris",215226,False,False,2011-11-18,5pKCCKE2ajJHZ9KAiaK11H,6qn9YLKt13AGvpq9jfO8py,215
135,"Outside (feat. Ellie Goulding)
Calvin Harris, Ellie Goulding",111,123.0,8,26388,Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",227266,False,False,2014-10-31,7CajNmpbOovFoOoasH2HaY,7MmG8p0F9N3C4AXdK6o6Eb,227
136,"Virtuální drogy
Viktor Sheen, Calin",9,171.0,9,26299,Virtuální drogy,"Viktor Sheen, Calin",214736,True,False,2021-11-17,4cG43cUBRJWWDsRh4SW48i,7E8LK4R9gAkSG4CD1kqvsX,215
137,"Gabriela
KATSEYE",104,108.0,9,26168,Gabriela,KATSEYE,197226,False,False,2025-06-20,3c0gDdb9lhnHGFtP4prQpn,1xOqGUkyxGQRdCvGpvWKmL,197
138,"Just Dance
Lady Gaga, Colby O'Donis",111,140.0,5,26142,Just Dance,"Lady Gaga, Colby O'Donis",241933,False,False,2008-01-01,1HY2Jd0NmPuamShAr6KMms,2x7MyWybabEz6Y6wvHuwGE,242
