rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
190,"إذا عديت نجم الليل
Husam Al Rassam",136,136.0,2,14493,إذا عديت نجم الليل,Husam Al Rassam,280308.0,False,False,2014-05-22,4WSDfufVR7neAAJngREPth,70pdtrGugJpg7gEQxmy1nF,280
191,"يا عراقي يعينك الله - الحياة المهزلة بطيء
عبدالله العرواني",124,177.0,2,14491,يا عراقي يعينك الله - الحياة المهزلة بطيء,عبدالله العرواني,261665.0,False,False,2025-03-10,3pqLxzslsuiQ1GQhEGH2Hj,0sCrQNH1lAxNuufGJtYyA1,262
192,"All The Things She Said
t.A.T.u.",31,,1,14451,All The Things She Said,t.A.T.u.,214440.0,True,False,2002,2Q3eZMfDQgT8MhPowKFXYO,4bJygwUKrRgq1stlNXcgMg,214
193,"100 Bars
Klash",123,191.0,3,14443,100 Bars,Klash,304012.0,True,False,2017-02-16,576Qg5nTQ5fVCFaSYrvKdw,2P6oyDVAxLxz9Hajf6Vsp1,304
194,"FE!N (feat. Playboi Carti)
Travis Scott, Playboi Carti",6,,1,14400,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",191700.0,True,False,2023-07-28,0Y5tJX1MQlPlqiwlOH1tJY,42VsgItocQwOQC3XWZ8JNA,192
195,"Stay
Ghostly Kisses",73,175.0,16,14379,Stay,Ghostly Kisses,183653.0,False,False,2020-06-05,7EkzQPP0cgt2qCnXUg6PHj,4ps0qZaunuLASyOB0cgfnE,184
196,"طاح الشر
ADAM, Dope Boy",196,,1,14372,طاح الشر,"ADAM, Dope Boy",110170.0,True,False,2026-01-01,5oLMBzEyhXilZhBr8BBagf,4quSTSCvlTBUOokdZRKjC9,110
197,"Magant Tebeed
Khaled El Hanen, Fahd Nory",95,166.0,2,14362,Magant Tebeed,"Khaled El Hanen, Fahd Nory",338155.0,False,False,2018-02-26,3A9JThFmHOmRn2AMMifide,2DyK2h31dcDkULVoCwHNbp,338
198,"تروح وترجعلي مقهور
علوش",198,,1,14332,تروح وترجعلي مقهور,علوش,259000.0,False,False,2014,4G9x7SwpTluNjCPNfHTdSZ,7cBLO6LopUx5GU42xrRRb2,259
199,"Play Date
Melanie Martinez",40,,1,14310,Play Date,Melanie Martinez,179867.0,True,False,2015-08-14,63yrD80RY3RNEM2YDpUpO8,4DpNNXFMMxQEKl7r0ykkWA,180
200,"As It Was
Harry Styles",1,,1,14255,As It Was,Harry Styles,167303.0,False,False,2022-05-20,6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e,167
