rank,track_artist,peak,prev,streak,streams,track_name,artist_name
178,"Bloodline
Alex Warren, Jelly Roll",9,196.0,4,60760,Bloodline,"Alex Warren, Jelly Roll"
179,"Clean Baby Sleep White Noise (Loopable no fade)
Dream Supplier",177,177.0,2,60662,Clean Baby Sleep White Noise (Loopable no fade),Dream Supplier
180,"Dog Days Are Over
Florence + The Machine",51,159.0,9,60622,Dog Days Are Over,Florence + The Machine
181,"All Falls Down
Kanye West, Syleena Johnson",70,171.0,2,60254,All Falls Down,"Kanye West, Syleena Johnson"
182,"We Are The People
Empire Of The Sun",87,152.0,9,60183,We Are The People,Empire Of The Sun
183,"Mystical Magical
Benson Boone",16,147.0,9,60166,Mystical Magical,Benson Boone
184,"The Way I Are
Timbaland, Keri Hilson, D.O.E.",117,,1,60104,The Way I Are,"Timbaland, Keri Hilson, D.O.E."
185,"Soda Pop
Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",2,180.0,36,60028,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast"
186,"Somewhere I Belong
Linkin Park",186,,1,59855,Somewhere I Belong,Linkin Park
187,"TIT FOR TAT
Tate McRae",7,174.0,22,59793,TIT FOR TAT,Tate McRae
188,"wgft (feat. Burna Boy)
Gunna, Burna Boy",134,190.0,6,59716,wgft (feat. Burna Boy),"Gunna, Burna Boy"
189,"Black
Pearl Jam",165,,1,59612,Black,Pearl Jam
190,"Stay
Rihanna, Mikky Ekko",104,160.0,3,59294,Stay,"Rihanna, Mikky Ekko"
191,"My Love (feat. T.I.)
Justin Timberlake, T.I.",104,198.0,2,59220,My Love (feat. T.I.),"Justin Timberlake, T.I."
192,"Sapphire
Ed Sheeran",22,169.0,8,58961,Sapphire,Ed Sheeran
193,"As It Was
Harry Styles",1,195.0,7,58943,As It Was,Harry Styles
194,"Chains of Love
Charli xcx",185,185.0,2,58931,Chains of Love,Charli xcx
195,"Just the Way You Are
Bruno Mars",60,136.0,7,58796,Just the Way You Are,Bruno Mars
196,"Linger
The Cranberries",54,191.0,9,58702,Linger,The Cranberries
197,"Gypsy
Fleetwood Mac",173,,1,58645,Gypsy,Fleetwood Mac
198,"Wish You Were Here
Pink Floyd",150,,1,58406,Wish You Were Here,Pink Floyd
199,"Bad (feat. Rihanna) - Remix
Wale, Rihanna",103,194.0,2,58134,Bad (feat. Rihanna) - Remix,"Wale, Rihanna"
200,"Bring Me To Life
Evanescence",98,,1,58112,Bring Me To Life,Evanescence
