rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
37,"Saudade do Carai
Mari Fernandez, Grelo, Natanzinho Lima",18,18.0,14,2675320,Saudade do Carai,"Mari Fernandez, Grelo, Natanzinho Lima",170777.0,False,False,2025-11-20,0BHm7qbh3ENxvXzkQAG7MP,0HixceBFegrCY3GFBB7SlQ,171
38,"NUNCA ESQUECIDO
Luan Pereira, Léo Foguete, Mc Don Juan",24,24.0,5,2674531,NUNCA ESQUECIDO,"Luan Pereira, Léo Foguete, Mc Don Juan",151434.0,False,False,2026-01-22,5kVgcCdPbeUwxBqWxi2Ktl,4JaUZ7HAQRvyG2Vc7J2GVb,151
39,"Saudade De Quem Eu Sou - Ao Vivo
Henrique & Juliano",11,46.0,50,2672714,Saudade De Quem Eu Sou - Ao Vivo,Henrique & Juliano,153103.0,False,False,2025-06-27,3p7PcrEHaaKLJnPUGOtRlT,7tesyGMnAFNI0l2xaxcFKi,153
40,"Apaga Apaga Apaga - Ao Vivo
Danilo e Davi",1,45.0,59,2648591,Apaga Apaga Apaga - Ao Vivo,Danilo e Davi,178882.0,False,False,2024-08-09,5DaqVKaxeqDbJuxaIP9m4u,17tg01y3RhlfRKMnd333yL,179
41,"Eu Tô Querendo De Novo - Ao Vivo
NATTAN, Anitta",33,47.0,6,2623548,Eu Tô Querendo De Novo - Ao Vivo,"NATTAN, Anitta",135250.0,False,False,2026-01-15,1SXhEXzOTF7YeuQX59m7pT,0pkUneJOTi0uHF4Eqf3T6r,135
42,"Gangstar
Oruam, Chefin, Salvador Da Rima, Real Fuba, Elow, Kabeh, Vertigo, NovaChance",42,74.0,2,2579886,Gangstar,"Oruam, Chefin, Salvador Da Rima, Real Fuba, Elow, Kabeh, Vertigo, NovaChance",291000.0,False,False,2026-02-06,4yGgbQJMq9orWypwqtdzYT,4tgLMOHoZlWRmEMclryt6T,291
43,"Chatão
Mc Lele JP, DJ Oreia, Mc DR, Gubeatz, Mc Negão Original, MC Ryan SP",43,57.0,11,2572022,Chatão,"Mc Lele JP, DJ Oreia, Mc DR, Gubeatz, Mc Negão Original, MC Ryan SP",314880.0,False,False,2025-08-07,1mV9h1AwhRXSjBFcYpajgY,5jXXQY6LLlEtEWMDL6XcaP,315
44,"BAILE INoLVIDABLE
Bad Bunny",40,62.0,3,2549889,BAILE INoLVIDABLE,Bad Bunny,367725.0,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,2lTm559tuIvatlT1u0JYG2,368
45,"Coração Partido (Corazón Partío) - Ao Vivo
Grupo Menos É Mais",1,36.0,78,2533437,Coração Partido (Corazón Partío) - Ao Vivo,Grupo Menos É Mais,195794.0,False,False,2024-11-14,6vTqEFbTtTRJsuIpzZgjxi,6Kyl2nFgU0J8WBlbBvDv6g,196
46,"Toma Gostosona
Mc Lele JP, DJ Guh Mix",23,43.0,17,2526711,Toma Gostosona,"Mc Lele JP, DJ Guh Mix",156923.0,False,False,2025-04-28,1mV9h1AwhRXSjBFcYpajgY,7G8V8LiyyqwzSlsQLiaitN,157
47,"Ama Um Maloqueiro
Rafa e Junior, Hugo & Guilherme, DJ Ari SL",4,40.0,40,2516623,Ama Um Maloqueiro,"Rafa e Junior, Hugo & Guilherme, DJ Ari SL",162580.0,False,False,2025-05-22,583d9476xT4d6A0pADiRJg,2ejSYn4SfoE07mXPlnYVED,163
48,"Talvez você precise de mim
Veigh, Supernova Ent",17,61.0,35,2501232,Talvez você precise de mim,"Veigh, Supernova Ent",126800.0,False,False,2025-06-26,4YqwRbMLqGHRHLS1w2ZKse,2De1EHbIhepIVLHZ16bySE,127
49,"Pelo Bem da Minha Saudade
Gusttavo Lima",21,29.0,28,2499281,Pelo Bem da Minha Saudade,Gusttavo Lima,171797.0,False,False,2026-03-05,7MiDcPa6UiV3In7lIM71IN,0J1BfCRefOABJ8noNSata5,172
50,"FAMOSINHA
Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN",1,41.0,41,2427817,FAMOSINHA,"Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN",133384.0,False,False,2025-02-28,4Kv35Xnw1ODjO2nIHLhdBY,5Nj2UVsxXAvhfYNpcre3al,133
